Date,ticker,open,high,low,close,volume
2024-06-03,BOTZ,31.16,31.31,30.865,31.12,574281
2024-06-04,BOTZ,31.18,31.24,30.9997,31.13,425801
2024-06-05,BOTZ,31.26,31.64,31.1311,31.64,518579
2024-06-06,BOTZ,31.635,31.635,31.3,31.47,394234
2024-06-07,BOTZ,31.18,31.26,31.01,31.06,402997
2024-06-10,BOTZ,31.0,31.32,30.86,31.29,462925
2024-06-11,BOTZ,31.15,31.21,30.92,31.13,486705
2024-06-12,BOTZ,31.7,32.1137,31.67,31.82,690877
2024-06-13,BOTZ,31.83,31.9,31.4727,31.62,453605
2024-06-14,BOTZ,31.375,31.41,31.22,31.4,556424
2024-06-17,BOTZ,31.2,31.5065,31.13,31.45,393444
2024-06-18,BOTZ,31.45,31.65,31.37,31.63,509231
2024-06-20,BOTZ,31.62,31.62,30.955,31.06,758301
2024-06-21,BOTZ,30.85,30.87,30.57,30.76,598656
2024-06-24,BOTZ,30.73,30.84,30.46,30.46,715884
2024-06-25,BOTZ,30.56,30.858,30.48,30.83,458850
2024-06-26,BOTZ,30.76,30.9021,30.675,30.8,532068
2024-06-27,BOTZ,30.57,30.78,30.54,30.78,624279
2024-06-28,BOTZ,30.83,31.08,30.695,30.85,432774
2024-07-01,BOTZ,30.87,30.945,30.68,30.72,331806
2024-07-02,BOTZ,30.56,30.805,30.52,30.79,446025
2024-07-03,BOTZ,30.79,31.1251,30.775,31.09,274153
2024-07-05,BOTZ,31.24,31.26,31.04,31.21,419507
2024-07-08,BOTZ,31.24,31.49,31.23,31.36,1498561
2024-07-09,BOTZ,31.44,31.525,31.235,31.35,472639
2024-07-10,BOTZ,31.44,31.71,31.39,31.69,524362
2024-07-11,BOTZ,31.9,32.11,31.645,31.67,723739
2024-07-12,BOTZ,31.97,32.38,31.97,32.21,801368
2024-07-15,BOTZ,32.23,32.3,31.94,32.03,607630
2024-07-16,BOTZ,32.05,32.25,31.99,32.23,417514
2024-07-17,BOTZ,31.72,31.88,31.32,31.42,844068
2024-07-18,BOTZ,31.4,31.49,30.65,30.81,959266
2024-07-19,BOTZ,30.94,31.055,30.71,30.85,369883
2024-07-22,BOTZ,31.07,31.25,30.96,31.24,511971
2024-07-23,BOTZ,30.98,31.26,30.75,31.12,450498
2024-07-24,BOTZ,30.71,30.94,30.19,30.21,796869
2024-07-25,BOTZ,29.94,30.42,29.48,29.81,637063
2024-07-26,BOTZ,30.38,30.49,30.23,30.39,482963
2024-07-29,BOTZ,30.48,30.52,30.07,30.17,691746
2024-07-30,BOTZ,30.2,30.43,29.61,29.78,453393
2024-07-31,BOTZ,30.72,31.06,30.55,30.8,667543
2024-08-01,BOTZ,30.53,30.53,29.18,29.46,913690
2024-08-02,BOTZ,28.72,28.72,28.13,28.6,963957
2024-08-05,BOTZ,26.81,28.07,26.6,27.68,2918249
2024-08-06,BOTZ,27.71,28.59,27.71,28.19,1084837
2024-08-07,BOTZ,28.95,29.21,28.26,28.27,1068596
2024-08-08,BOTZ,28.63,29.17,28.42,29.06,518861
2024-08-09,BOTZ,28.87,29.11,28.7594,29.03,465438
2024-08-12,BOTZ,29.04,29.36,28.98,29.18,432942
2024-08-13,BOTZ,29.45,29.905,29.45,29.89,430207
2024-08-14,BOTZ,29.98,30.07,29.74,29.92,285456
2024-08-15,BOTZ,30.01,30.35,30.01,30.28,1186906
2024-08-16,BOTZ,30.29,30.5551,30.29,30.5,351361
2024-08-19,BOTZ,30.55,31.07,30.5,31.07,663602
2024-08-20,BOTZ,31.16,31.26,30.86,30.9,432157
2024-08-21,BOTZ,31.25,31.706,31.25,31.64,506689
2024-08-22,BOTZ,31.75,31.7999,31.075,31.13,379219
2024-08-23,BOTZ,31.53,31.9,31.5079,31.87,486993
2024-08-26,BOTZ,31.74,31.8625,31.45,31.49,250435
2024-08-27,BOTZ,31.42,31.7738,31.325,31.69,303993
2024-08-28,BOTZ,31.58,31.72,31.16,31.31,402436
2024-08-29,BOTZ,31.4,31.81,31.37,31.4,473405
2024-08-30,BOTZ,31.54,31.74,31.3101,31.56,639606
2024-09-03,BOTZ,31.15,31.1702,30.04,30.17,1076554
2024-09-04,BOTZ,29.76,30.3,29.76,29.97,799972
2024-09-05,BOTZ,29.77,30.0168,29.64,29.93,697801
2024-09-06,BOTZ,29.65,29.78,28.825,29.0,602029
2024-09-09,BOTZ,29.39,29.67,29.38,29.45,381027
2024-09-10,BOTZ,29.42,29.4405,29.04,29.41,375102
2024-09-11,BOTZ,29.31,30.04,29.09,30.0,439916
2024-09-12,BOTZ,30.07,30.5366,29.97,30.45,522205
2024-09-13,BOTZ,30.41,30.69,30.41,30.54,275944
