Date,ticker,open,high,low,close,volume
2024-06-03,CPNG,22.76,22.99,22.41,22.53,3700837
2024-06-04,CPNG,22.455,22.53,21.615,22.02,8580510
2024-06-05,CPNG,22.13,22.13,21.68,21.79,5832982
2024-06-06,CPNG,21.9,22.17,21.72,21.89,5526755
2024-06-07,CPNG,21.74,22.055,21.6,21.84,4628443
2024-06-10,CPNG,21.76,22.2,21.63,22.18,3949392
2024-06-11,CPNG,22.04,22.22,21.9,22.12,3627224
2024-06-12,CPNG,22.25,22.87,22.0301,22.69,6686013
2024-06-13,CPNG,22.29,22.49,21.2,21.7,10213406
2024-06-14,CPNG,21.49,21.56,21.01,21.4,6159467
2024-06-17,CPNG,21.34,21.38,20.39,20.54,13269858
2024-06-18,CPNG,20.49,20.75,20.15,20.39,10440532
2024-06-20,CPNG,20.5,21.2,20.45,21.02,10273818
2024-06-21,CPNG,21.14,21.35,20.91,21.34,10781546
2024-06-24,CPNG,21.32,21.48,21.02,21.06,6947659
2024-06-25,CPNG,21.06,21.42,21.01,21.22,7123088
2024-06-26,CPNG,21.15,21.36,20.9549,21.28,8590525
2024-06-27,CPNG,21.23,21.41,21.005,21.09,3438578
2024-06-28,CPNG,21.235,21.235,20.815,20.95,12073047
2024-07-01,CPNG,20.95,21.19,20.6,21.08,6300729
2024-07-02,CPNG,21.16,21.19,20.7305,20.9,9102712
2024-07-03,CPNG,20.86,21.27,20.805,20.91,3354089
2024-07-05,CPNG,21.12,21.81,21.03,21.67,5411601
2024-07-08,CPNG,21.58,21.84,21.275,21.41,5388054
2024-07-09,CPNG,21.31,21.73,21.27,21.34,4573481
2024-07-10,CPNG,21.46,21.49,21.025,21.37,3643884
2024-07-11,CPNG,21.57,21.675,21.36,21.62,7061196
2024-07-12,CPNG,21.7,22.32,21.68,21.82,4211346
2024-07-15,CPNG,21.84,21.91,21.13,21.18,6945320
2024-07-16,CPNG,21.26,21.45,21.1,21.31,4393600
2024-07-17,CPNG,21.07,21.12,20.52,20.82,6747498
2024-07-18,CPNG,21.04,21.04,20.09,20.21,7690511
2024-07-19,CPNG,20.24,20.27,20.04,20.19,3651260
2024-07-22,CPNG,20.24,20.74,20.175,20.61,6338973
2024-07-23,CPNG,20.54,20.67,20.42,20.6,3235151
2024-07-24,CPNG,20.52,20.65,19.91,19.92,9611955
2024-07-25,CPNG,19.94,20.18,19.62,19.79,4436210
2024-07-26,CPNG,20.03,20.425,19.94,20.18,9692080
2024-07-29,CPNG,20.28,20.565,20.19,20.3,5359824
2024-07-30,CPNG,20.36,20.43,19.83,20.33,4506749
2024-07-31,CPNG,20.64,21.025,20.61,20.75,5815807
2024-08-01,CPNG,20.7,20.93,20.355,20.62,6127135
2024-08-02,CPNG,19.9,20.33,19.7,20.28,6057397
2024-08-05,CPNG,18.3,20.425,18.16,20.35,9786777
2024-08-06,CPNG,20.44,21.075,20.21,20.67,8289611
2024-08-07,CPNG,20.63,22.2,20.63,21.21,19950706
2024-08-08,CPNG,21.37,22.8,21.26,22.78,11617992
2024-08-09,CPNG,22.76,22.99,22.365,22.59,17900442
2024-08-12,CPNG,22.68,22.8,22.275,22.73,5523978
2024-08-13,CPNG,22.88,23.049,22.5,22.58,9739140
2024-08-14,CPNG,22.63,22.72,22.03,22.15,5531386
2024-08-15,CPNG,22.23,22.65,22.06,22.4,6793901
2024-08-16,CPNG,22.5,22.7691,22.175,22.45,7597090
2024-08-19,CPNG,22.555,23.61,22.41,23.59,10911862
2024-08-20,CPNG,23.495,23.66,22.74,22.79,6027994
2024-08-21,CPNG,22.76,23.19,22.54,22.84,7026431
2024-08-22,CPNG,22.96,23.52,22.79,22.99,6753536
2024-08-23,CPNG,23.12,23.21,22.77,22.87,4049047
