Date,ticker,open,high,low,close,volume
2022-06-02,IEF,102.516,102.526,102.123,102.367,3025852.8469523
2022-06-03,IEF,101.969,102.257,101.939,102.167,2698075.6703026
2022-06-06,IEF,101.919,102.013,101.341,101.401,4819047.1618886
2022-06-07,IEF,101.664,102.038,101.649,101.809,3242381.3518457
2022-06-08,IEF,101.619,101.779,101.416,101.431,2929095.623952
2022-06-09,IEF,101.301,101.55,101.121,101.341,4194623.925853
2022-06-10,IEF,100.823,100.923,100.21,100.345,4460451.0625281
2022-06-13,IEF,99.2786,99.4181,98.0435,98.5615,9236123.2584087
2022-06-14,IEF,98.7806,98.9151,97.6101,97.7744,7859848.2052542
2022-06-15,IEF,98.5713,99.1791,98.0235,99.1392,10295619.21697
2022-06-16,IEF,98.1729,99.8361,98.0484,99.7868,9204017.4115287
2022-06-17,IEF,99.876,100.076,99.1691,99.8171,7056838.6428114
2022-06-21,IEF,99.2786,99.5625,99.1739,99.2986,10381857.190074
2022-06-22,IEF,100.454,100.733,100.325,100.554,9538413.9157688
2022-06-23,IEF,101.171,101.779,101.007,101.121,9282703.4887475
2022-06-24,IEF,100.992,101.371,100.683,100.763,5146711.9083455
2022-06-27,IEF,100.185,100.633,100.066,100.195,5460303.8077459
2022-06-28,IEF,100.086,100.355,99.9408,100.325,3777755.8599624
2022-06-29,IEF,100.494,101.131,100.404,101.131,3573300.5508426
2022-06-30,IEF,101.709,102.148,101.619,101.909,5430317.0692287
2022-07-01,IEF,102.726,103.572,102.586,102.845,63465748.543266
2022-07-05,IEF,103.353,103.622,103.044,103.224,6676911.9259243
2022-07-06,IEF,103.602,103.612,102.327,102.347,4773012.0172159
2022-07-07,IEF,102.377,102.377,101.639,101.719,4073746.4111718
2022-07-08,IEF,101.441,101.451,100.98,101.101,3678977.905018
2022-07-11,IEF,101.639,102.063,101.584,101.899,2776351.1765501
2022-07-12,IEF,102.437,102.636,102.058,102.138,3683248.2446555
2022-07-13,IEF,101.52,102.657,101.386,102.576,6835591.081351
