Date,ticker,open,high,low,close,volume
2024-06-03,IJH,60.07,60.07,58.81,59.19,8137955
2024-06-04,IJH,58.96,59.005,58.3529,58.4,8941983
2024-06-05,IJH,58.71,59.08,58.29,59.05,5225689
2024-06-06,IJH,58.9,59.095,58.62,58.87,5094045
2024-06-07,IJH,58.42,58.805,58.27,58.45,6738994
2024-06-10,IJH,57.92,58.63,57.85,58.53,6902500
2024-06-11,IJH,58.01,58.22,57.585,58.11,5347647
2024-06-12,IJH,59.16,59.59,58.71,58.89,7365151
2024-06-13,IJH,58.76,58.8199,58.19,58.53,4102381
2024-06-14,IJH,57.99,58.08,57.4552,57.83,6904269
2024-06-17,IJH,57.65,58.38,57.6,58.35,5955064
2024-06-18,IJH,58.33,58.6301,58.25,58.46,6733152
2024-06-20,IJH,58.4,58.68,58.18,58.31,5632453
2024-06-21,IJH,58.37,58.56,57.99,58.55,5772147
2024-06-24,IJH,58.68,59.2694,58.555,58.9,6621365
2024-06-25,IJH,58.85,58.85,58.1237,58.34,4540186
2024-06-26,IJH,58.16,58.275,57.93,58.18,4180530
2024-06-27,IJH,58.19,58.39,58.05,58.37,5497051
2024-06-28,IJH,58.67,58.96,58.17,58.52,8202401
2024-07-01,IJH,58.71,58.7999,57.89,57.97,9317920
2024-07-02,IJH,57.9,58.2,57.88,58.15,6219222
2024-07-03,IJH,58.31,58.595,58.1523,58.27,4108820
2024-07-05,IJH,58.21,58.28,57.6946,57.9,4909771
2024-07-08,IJH,58.2,58.53,57.9711,58.08,7811403
2024-07-09,IJH,58.0,58.1499,57.69,57.73,6115758
2024-07-10,IJH,57.96,58.435,57.89,58.37,5472205
2024-07-11,IJH,59.18,59.93,59.03,59.81,10371206
2024-07-12,IJH,60.31,60.725,60.125,60.42,8102211
2024-07-15,IJH,60.69,61.195,60.435,60.79,9157961
2024-07-16,IJH,61.07,62.32,61.0152,62.25,10038597
2024-07-17,IJH,61.71,62.405,61.34,61.34,11181490
2024-07-18,IJH,61.32,62.07,60.5297,60.67,8632393
2024-07-19,IJH,60.54,60.67,60.065,60.25,7867231
2024-07-22,IJH,60.5,61.0598,59.99,60.99,6679267
2024-07-23,IJH,60.85,61.335,60.735,61.13,6681373
2024-07-24,IJH,60.82,61.23,59.9026,59.94,8131527
2024-07-25,IJH,60.04,61.3501,59.95,60.42,8170029
2024-07-26,IJH,61.11,61.61,60.91,61.46,6873579
2024-07-29,IJH,61.55,61.79,61.175,61.38,6146370
2024-07-30,IJH,61.55,61.89,61.245,61.6,6726882
2024-07-31,IJH,62.03,62.86,61.58,61.97,9847826
2024-08-01,IJH,62.03,62.415,60.15,60.6,10629576
2024-08-02,IJH,59.35,59.37,58.26,58.92,16747855
2024-08-05,IJH,56.29,58.06,56.01,57.32,23579042
2024-08-06,IJH,57.44,58.63,56.98,57.89,17881414
2024-08-07,IJH,58.72,58.93,57.405,57.48,10063485
2024-08-08,IJH,58.02,58.76,57.78,58.71,13235606
2024-08-09,IJH,58.73,58.87,58.26,58.67,5619147
2024-08-12,IJH,58.77,58.8657,58.2,58.32,5507151
2024-08-13,IJH,58.69,59.19,58.4,59.11,6537257
2024-08-14,IJH,59.26,59.38,58.825,59.04,6203999
2024-08-15,IJH,60.04,60.4055,59.78,60.21,5558819
2024-08-16,IJH,60.0,60.49,59.97,60.24,8228020
2024-08-19,IJH,60.29,60.82,60.29,60.82,4928239
2024-08-20,IJH,60.76,60.81,60.145,60.28,4200508
2024-08-21,IJH,60.63,61.05,60.405,61.01,6030167
