Date,ticker,open,high,low,close,volume
2024-06-03,NFLX,645.215,646.78,627.27,633.79,2323506
2024-06-04,NFLX,633.78,635.2299,626.44,631.62,3008151
2024-06-05,NFLX,634.02,651.25,628.25,650.27,2682614
2024-06-06,NFLX,644.89,657.99,644.2368,648.52,2466664
2024-06-07,NFLX,649.38,650.4,640.2401,641.47,1876631
2024-06-10,NFLX,641.01,644.79,635.59,644.5,2066759
2024-06-11,NFLX,640.72,650.19,640.52,648.55,2167417
2024-06-12,NFLX,652.21,655.78,643.11,650.06,2094381
2024-06-13,NFLX,644.0,655.25,642.35,653.26,1863587
2024-06-14,NFLX,655.05,675.58,652.64,669.38,4447116
2024-06-17,NFLX,669.11,682.7099,665.1101,675.83,3631184
2024-06-18,NFLX,675.63,687.06,674.64,685.67,2943775
2024-06-20,NFLX,681.8,689.88,673.7203,679.03,2585089
2024-06-21,NFLX,683.26,686.9,678.1,686.12,4557086
2024-06-24,NFLX,685.0,685.5,664.5,669.02,3916335
2024-06-25,NFLX,673.44,673.665,662.3,672.41,2278768
2024-06-26,NFLX,672.41,682.96,670.02,677.69,3545815
2024-06-27,NFLX,679.35,688.57,678.14,684.34,2404849
2024-06-28,NFLX,679.0,687.0,673.08,674.88,3412391
2024-07-01,NFLX,674.89,675.02,663.78,673.61,2212826
2024-07-02,NFLX,673.54,681.74,670.07,679.58,2411426
2024-07-03,NFLX,677.48,683.7499,675.5,682.51,1403545
2024-07-05,NFLX,682.51,697.49,677.23,690.65,2659065
2024-07-08,NFLX,687.0,688.86,681.485,685.74,1930786
2024-07-09,NFLX,690.0,695.27,684.72,685.74,2599474
2024-07-10,NFLX,685.02,687.22,673.16,677.65,2651928
2024-07-11,NFLX,672.485,672.485,647.44,652.75,5111928
2024-07-12,NFLX,652.75,655.92,643.7075,647.6,3355197
2024-07-15,NFLX,647.5,667.54,646.63,656.45,3208763
2024-07-16,NFLX,661.8,663.675,649.13,656.32,2685706
2024-07-17,NFLX,650.0,650.45,639.47,647.46,4017277
2024-07-18,NFLX,656.6,657.0395,639.165,643.04,7575763
2024-07-19,NFLX,660.64,678.97,629.1201,633.34,9815631
2024-07-22,NFLX,639.5,656.29,632.6,647.5,5219077
2024-07-23,NFLX,647.5,649.91,641.0001,642.76,2463579
