Date,ticker,open,high,low,close,volume
2024-01-02,QQQM,167.03,167.14,164.75,165.7,2061696
2024-01-03,QQQM,164.62,165.0392,163.78,163.92,1870985
2024-01-04,QQQM,163.18,164.46,163.03,163.11,1375722
2024-01-05,QQQM,163.18,164.4305,162.74,163.32,1114157
2024-01-08,QQQM,163.83,166.8045,163.78,166.7,1894205
2024-01-09,QQQM,165.42,167.39,165.37,167.02,1583662
2024-01-10,QQQM,167.15,168.5595,166.8,168.16,1122151
2024-01-11,QQQM,168.7,169.22,166.41,168.54,4047603
2024-01-12,QQQM,168.92,169.27,168.01,168.6,1289146
2024-01-16,QQQM,168.07,169.21,167.5,168.57,1202910
2024-01-17,QQQM,167.2,167.77,165.86,167.62,3775381
2024-01-18,QQQM,169.08,170.24,168.46,170.09,1867748
2024-01-19,QQQM,170.93,173.43,170.679,173.39,1876067
2024-01-22,QQQM,174.28,174.81,173.35,173.6,2086410
2024-01-23,QQQM,173.88,174.39,173.155,174.37,1043218
2024-01-24,QQQM,175.93,176.94,175.09,175.29,2255816
2024-01-25,QQQM,176.34,176.6024,174.56,175.49,1431530
2024-01-26,QQQM,174.69,175.43,174.2,174.47,1055042
2024-01-29,QQQM,174.65,176.31,174.38,176.25,1116968
2024-01-30,QQQM,175.84,176.015,174.7,175.05,1683340
2024-01-31,QQQM,173.24,174.065,171.58,171.61,2298833
2024-02-01,QQQM,172.38,173.86,172.0,173.72,2048151
2024-02-02,QQQM,174.47,177.11,174.1,176.67,2009718
2024-02-05,QQQM,176.61,176.84,174.96,176.38,1663721
2024-02-06,QQQM,176.82,177.09,175.04,176.04,1471136
2024-02-07,QQQM,177.16,178.165,176.665,177.82,1445625
2024-02-08,QQQM,177.94,178.47,177.5951,178.17,817799
2024-02-09,QQQM,178.62,180.22,178.31,179.9,1763296
2024-02-12,QQQM,179.87,180.77,178.93,179.2,1826158
2024-02-13,QQQM,175.89,177.519,175.0918,176.4,1726188
2024-02-14,QQQM,177.56,178.51,176.56,178.35,992729
2024-02-15,QQQM,178.65,179.0667,177.59,178.88,1339473
2024-02-16,QQQM,179.04,179.05,176.97,177.25,2130879
2024-02-20,QQQM,176.45,177.02,174.34,175.91,5382830
2024-02-21,QQQM,174.77,175.23,173.57,175.18,2366358
2024-02-22,QQQM,178.87,180.78,178.55,180.36,2738226
2024-02-23,QQQM,181.0,181.38,179.43,179.81,1355387
2024-02-26,QQQM,180.16,180.5605,179.65,179.74,1129904
2024-02-27,QQQM,180.18,180.3,179.11,180.16,1075956
2024-02-28,QQQM,179.26,179.76,178.8,179.19,1594637
2024-02-29,QQQM,180.4,181.17,179.1,180.69,1230895
2024-03-01,QQQM,181.09,183.84,181.09,183.48,1554273
2024-03-04,QQQM,183.47,183.63,182.71,182.76,1453687
2024-03-05,QQQM,181.45,181.48,178.54,179.51,2064962
2024-03-06,QQQM,181.34,181.95,179.86,180.67,1524687
2024-03-07,QQQM,182.15,183.89,181.504,183.39,1841627
2024-03-08,QQQM,183.51,184.655,180.48,180.74,2679550
2024-03-11,QQQM,180.05,180.56,179.27,180.08,2221179
2024-03-12,QQQM,181.05,182.81,179.73,182.63,4639480
2024-03-13,QQQM,182.24,182.24,180.8,181.24,1674207
2024-03-14,QQQM,181.78,181.97,179.66,180.81,1672674
2024-03-15,QQQM,179.5,179.8,178.16,178.64,2464071
2024-03-18,QQQM,180.49,181.44,179.91,179.99,3187192
2024-03-19,QQQM,179.18,180.6,178.3,180.43,1451160
2024-03-20,QQQM,180.945,182.7299,180.25,182.59,1301847
2024-03-21,QQQM,184.68,184.879,183.35,183.42,1914659
2024-03-22,QQQM,183.25,184.11,182.9,183.59,1142781
2024-03-25,QQQM,182.42,183.61,182.1,183.0,1089818
2024-03-26,QQQM,183.61,184.0056,182.32,182.4,1432300
2024-03-27,QQQM,183.69,183.74,181.84,183.07,2540714
2024-03-28,QQQM,183.04,183.36,182.55,182.69,1343728
2024-04-01,QQQM,183.08,184.13,182.29,183.11,1510030
2024-04-02,QQQM,181.08,181.62,180.24,181.5,1803441
2024-04-03,QQQM,180.66,182.67,180.62,181.91,1773484
2024-04-04,QQQM,183.67,183.89,179.02,179.12,2354140
2024-04-05,QQQM,179.75,182.32,179.42,181.24,2193789
2024-04-08,QQQM,181.65,182.08,180.73,181.31,1171533
2024-04-09,QQQM,182.27,182.38,180.0,181.95,1335925
2024-04-10,QQQM,179.77,180.73,179.52,180.38,1667523
2024-04-11,QQQM,181.14,183.64,180.21,183.29,986506
2024-04-12,QQQM,181.48,181.95,179.76,180.33,2174572
2024-04-15,QQQM,181.89,181.8925,177.02,177.36,3120146
2024-04-16,QQQM,177.28,178.47,176.83,177.37,2670371
2024-04-17,QQQM,178.23,178.23,174.84,175.23,1996275
2024-04-18,QQQM,175.49,176.1401,173.98,174.26,1978473
2024-04-19,QQQM,173.73,173.93,169.96,170.65,2817137
2024-04-22,QQQM,171.72,173.3,170.35,172.35,1469330
2024-04-23,QQQM,173.16,175.4,172.98,174.9,2176231
2024-04-24,QQQM,176.22,176.805,174.58,175.49,1234890
2024-04-25,QQQM,172.5,175.01,172.06,174.65,1234754
2024-04-26,QQQM,175.99,177.96,175.695,177.35,1044108
2024-04-29,QQQM,178.24,178.45,176.925,178.06,1590660
2024-04-30,QQQM,177.39,177.97,174.67,174.68,1239073
2024-05-01,QQQM,174.08,176.93,173.1,173.45,1449584
2024-05-02,QQQM,175.02,176.03,173.08,175.65,1275059
2024-05-03,QQQM,178.78,179.58,178.12,179.2,1944793
2024-05-06,QQQM,179.97,181.2,179.63,181.19,984073
2024-05-07,QQQM,181.35,181.86,180.89,181.19,1363731
2024-05-08,QQQM,180.1,181.64,180.05,181.08,818841
2024-05-09,QQQM,181.16,181.7,180.47,181.48,1437698
2024-05-10,QQQM,182.11,182.81,181.28,181.9,957666
2024-05-13,QQQM,182.69,182.73,181.77,182.34,1291334
2024-05-14,QQQM,182.15,183.715,182.08,183.5,1155347
2024-05-15,QQQM,184.54,186.45,183.89,186.35,1657369
2024-05-16,QQQM,186.3,187.11,185.92,185.99,1669132
2024-05-17,QQQM,186.05,186.29,184.971,185.91,1114123
2024-05-20,QQQM,186.0,187.46,185.91,187.2,1119821
2024-05-21,QQQM,186.45,187.64,186.34,187.57,1010646
2024-05-22,QQQM,187.68,187.98,186.46,187.52,1052548
2024-05-23,QQQM,189.52,189.56,185.95,186.7,6090536
2024-05-24,QQQM,187.39,188.96,187.0693,188.48,1484346
2024-05-28,QQQM,188.94,189.19,187.94,189.18,1517978
2024-05-29,QQQM,187.41,188.55,187.39,187.88,1338388
2024-05-30,QQQM,187.43,187.475,185.27,185.85,1882365
2024-05-31,QQQM,185.89,186.17,182.35,185.87,1891060
2024-06-03,QQQM,187.12,187.47,184.34,186.49,1786659
2024-06-04,QQQM,186.35,187.48,185.65,186.97,2749930
2024-06-05,QQQM,188.46,190.77,188.0,190.73,1272514
2024-06-06,QQQM,191.04,191.15,190.2,190.7,2667087
2024-06-07,QQQM,190.42,191.62,190.07,190.53,1028768
2024-06-10,QQQM,190.07,191.4,189.93,191.28,962794
2024-06-11,QQQM,190.74,192.64,190.155,192.6,957670
2024-06-12,QQQM,194.22,196.07,193.95,195.09,1141452
2024-06-13,QQQM,196.59,196.84,195.25,196.18,1105261
2024-06-14,QQQM,196.09,197.22,195.9,197.19,1480962
2024-06-17,QQQM,197.29,200.32,196.76,199.61,1343419
2024-06-18,QQQM,199.61,199.95,198.94,199.67,1108735
2024-06-20,QQQM,200.17,200.32,197.41,198.12,1635904
2024-06-21,QQQM,198.01,198.56,197.0,197.54,1452292
2024-06-24,QQQM,196.8,197.47,194.985,195.05,1379011
2024-06-25,QQQM,195.9,197.38,195.54,197.27,902985
2024-06-26,QQQM,196.92,197.9,196.85,197.7,816192
2024-06-27,QQQM,197.58,198.7898,197.2301,198.19,1183216
2024-06-28,QQQM,198.5,200.47,196.92,197.11,2099436
2024-07-01,QQQM,197.55,198.54,196.0,198.33,1526817
2024-07-02,QQQM,197.71,200.41,197.67,200.4,1097402
2024-07-03,QQQM,200.1,202.13,200.09,202.06,1015283
2024-07-05,QQQM,202.48,204.355,202.305,204.19,1720062
2024-07-08,QQQM,204.35,204.89,203.9106,204.7,1541177
2024-07-09,QQQM,205.31,205.75,204.21,204.85,1509395
2024-07-10,QQQM,205.64,207.24,205.11,207.0,1240349
2024-07-11,QQQM,207.02,207.12,201.9501,202.44,2584376
2024-07-12,QQQM,202.69,205.59,202.49,203.67,1726400
2024-07-15,QQQM,204.36,206.16,203.34,204.2,2237184
2024-07-16,QQQM,204.77,205.06,202.95,204.26,1372783
2024-07-17,QQQM,200.93,201.138,198.24,198.3,2635568
2024-07-18,QQQM,199.88,199.91,196.0,197.3,2760482
2024-07-19,QQQM,197.18,198.2,195.06,195.56,2153468
2024-07-22,QQQM,198.0,198.895,196.62,198.49,2160242
2024-07-23,QQQM,198.11,199.35,197.61,197.78,1241584
2024-07-24,QQQM,195.01,195.12,190.31,190.72,1870275
2024-07-25,QQQM,190.84,192.545,187.51,188.55,2784666
2024-07-26,QQQM,190.4,191.7248,189.22,190.55,2458116
2024-07-29,QQQM,191.65,192.52,189.98,190.91,1168031
2024-07-30,QQQM,191.72,191.9537,186.92,188.29,1187804
2024-07-31,QQQM,192.63,194.55,191.99,193.76,2412500
2024-08-01,QQQM,194.17,195.69,187.64,189.19,3353556
2024-08-02,QQQM,185.55,186.625,182.97,184.67,3757127
2024-08-05,QQQM,174.7,182.0,174.23,179.36,5114021
2024-08-06,QQQM,179.94,183.98,178.87,180.92,3959663
2024-08-07,QQQM,183.76,184.75,178.7601,178.94,2830601
2024-08-08,QQQM,181.53,184.75,179.95,184.37,2821807
2024-08-09,QQQM,183.87,186.01,183.4,185.34,1758732
2024-08-12,QQQM,185.74,186.99,184.6098,185.81,1701741
2024-08-13,QQQM,187.58,190.46,187.56,190.38,1478073
