Date,ticker,open,high,low,close,volume
2023-01-03,VGK,56.3,56.65,55.84,56.14,3983765
2023-01-04,VGK,57.14,57.355,56.74,57.21,8232748
2023-01-05,VGK,56.8,56.99,56.625,56.69,3593979
2023-01-06,VGK,57.0,58.24,56.68,58.2,3648920
2023-01-09,VGK,58.77,59.135,58.54,58.57,3561543
2023-01-10,VGK,58.46,58.86,58.46,58.85,2637421
2023-01-11,VGK,59.14,59.27,58.89,59.27,8081280
2023-01-12,VGK,59.67,60.13,59.04,60.0,4687732
2023-01-13,VGK,59.71,60.33,59.71,60.28,3869730
2023-01-17,VGK,60.51,60.795,60.27,60.43,4312847
2023-01-18,VGK,61.21,61.28,60.23,60.25,6151527
2023-01-19,VGK,59.91,60.08,59.61,59.95,8024295
2023-01-20,VGK,59.85,60.46,59.77,60.46,3036751
2023-01-23,VGK,60.268,60.775,60.215,60.74,3269977
2023-01-24,VGK,60.31,60.645,60.1,60.57,1897974
2023-01-25,VGK,60.11,60.835,60.105,60.81,3348035
2023-01-26,VGK,60.85,60.9,60.36,60.88,2850170
2023-01-27,VGK,60.4,60.845,60.345,60.68,2646211
2023-01-30,VGK,60.53,60.77,60.3,60.31,2213591
2023-01-31,VGK,60.21,60.745,60.09,60.74,3232771
2023-02-01,VGK,60.76,61.67,60.34,61.44,5138356
2023-02-02,VGK,61.76,61.79,61.11,61.55,3542587
2023-02-03,VGK,60.93,61.52,60.82,60.94,4199298
2023-02-06,VGK,60.36,60.49,60.03,60.28,2539695
2023-02-07,VGK,59.95,60.8,59.815,60.72,3722432
2023-02-08,VGK,60.73,60.83,60.35,60.47,2118544
2023-02-09,VGK,61.32,61.375,60.46,60.57,2205450
2023-02-10,VGK,60.1,60.17,59.8,60.08,2413445
2023-02-13,VGK,60.4,60.935,60.33,60.93,3644876
2023-02-14,VGK,60.79,61.475,60.62,61.22,4800722
2023-02-15,VGK,60.615,61.17,60.57,61.16,3443711
2023-02-16,VGK,60.6,61.195,60.54,60.81,3931850
2023-02-17,VGK,60.61,61.195,60.525,61.15,2476213
2023-02-21,VGK,60.72,60.95,60.395,60.45,3003337
2023-02-22,VGK,60.31,60.455,59.97,60.08,4498569
2023-02-23,VGK,60.43,60.565,59.92,60.46,2544866
2023-02-24,VGK,59.41,59.62,59.155,59.42,2826913
2023-02-27,VGK,60.21,60.41,60.04,60.3,2455553
2023-02-28,VGK,60.21,60.27,59.7,59.7,2688588
2023-03-01,VGK,60.3,60.37,59.8,60.08,2681591
2023-03-02,VGK,59.58,60.175,59.57,60.12,4208213
2023-03-03,VGK,60.37,60.91,60.195,60.89,2315101
2023-03-06,VGK,60.769,61.02,60.685,60.78,1451119
2023-03-07,VGK,60.55,60.59,59.445,59.51,2342859
2023-03-08,VGK,59.58,59.9,59.42,59.71,2280127
2023-03-09,VGK,59.67,59.9,59.09,59.14,3468991
2023-03-10,VGK,59.39,59.48,58.62,58.67,5576841
2023-03-13,VGK,57.9,58.675,57.76,58.25,8221588
2023-03-14,VGK,59.13,59.35,58.86,59.33,4222773
2023-03-15,VGK,56.55,57.21,56.2415,57.09,10038920
2023-03-16,VGK,56.59,57.955,56.54,57.95,6632993
2023-03-17,VGK,57.2,57.35,56.75,57.08,4816151
2023-03-20,VGK,57.56,58.13,57.48,57.98,4287309
2023-03-21,VGK,59.05,59.165,58.734,59.09,3160109
2023-03-22,VGK,59.1,59.86,58.74,58.75,4765956
2023-03-23,VGK,59.37,59.685,58.455,58.76,3919695
2023-03-24,VGK,58.05,58.37,57.69,58.3,4399761
2023-03-27,VGK,58.82,59.05,58.645,58.98,3901206
2023-03-28,VGK,58.84,59.065,58.74,58.93,1922498
2023-03-29,VGK,59.67,59.8999,59.54,59.88,2760113
2023-03-30,VGK,60.77,60.855,60.606,60.79,3050341
2023-03-31,VGK,60.94,61.1668,60.83,60.95,4449124
2023-04-03,VGK,60.99,61.39,60.935,61.38,3608364
2023-04-04,VGK,61.5,61.67,61.27,61.39,2655324
2023-04-05,VGK,61.16,61.305,60.845,61.05,2753578
2023-04-06,VGK,61.16,61.73,61.15,61.57,2879576
2023-04-10,VGK,61.19,61.59,61.085,61.57,2287256
2023-04-11,VGK,61.71,61.91,61.67,61.81,2167497
2023-04-12,VGK,62.41,62.61,62.08,62.3,5508384
2023-04-13,VGK,62.87,63.17,62.76,63.14,5748432
2023-04-14,VGK,63.19,63.335,62.75,63.04,1856441
2023-04-17,VGK,62.74,62.82,62.44,62.74,1947772
2023-04-18,VGK,63.06,63.18,62.9613,63.17,1925490
2023-04-19,VGK,62.9,63.09,62.88,63.03,1481856
2023-04-20,VGK,62.79,63.11,62.784,62.94,1909531
2023-04-21,VGK,63.06,63.42,62.82,63.41,2252937
2023-04-24,VGK,63.51,63.67,63.462,63.67,1811772
2023-04-25,VGK,63.28,63.29,62.6,62.6,2380479
2023-04-26,VGK,63.08,63.12,62.57,62.65,2195031
2023-04-27,VGK,62.93,63.39,62.7938,63.38,2309944
2023-04-28,VGK,62.99,63.565,62.97,63.47,2623454
2023-05-01,VGK,63.61,63.77,63.424,63.48,3491205
2023-05-02,VGK,62.84,62.84,62.36,62.74,2881849
2023-05-03,VGK,62.98,63.44,62.89,62.94,3123029
2023-05-04,VGK,62.64,62.88,62.4,62.62,3026000
2023-05-05,VGK,62.93,63.64,62.85,63.56,2362095
2023-05-08,VGK,63.77,63.77,63.48,63.57,2339719
2023-05-09,VGK,62.78,63.174,62.74,63.07,2322871
2023-05-10,VGK,63.2,63.2,62.565,62.99,2511020
2023-05-11,VGK,62.5,62.75,62.24,62.72,2096200
2023-05-12,VGK,62.74,62.805,62.33,62.55,1506426
2023-05-15,VGK,62.74,63.02,62.67,63.02,1541964
2023-05-16,VGK,62.68,62.75,62.36,62.36,2627437
2023-05-17,VGK,62.42,62.67,62.0997,62.63,2689931
2023-05-18,VGK,62.45,62.54,62.17,62.51,3888870
2023-05-19,VGK,62.87,63.15,62.815,62.97,2558356
2023-05-22,VGK,62.83,63.01,62.77,62.89,2756650
2023-05-23,VGK,62.5,62.545,61.95,61.97,2312029
2023-05-24,VGK,61.33,61.33,60.96,61.0,3006965
2023-05-25,VGK,60.92,60.96,60.6,60.84,3532828
2023-05-26,VGK,61.17,61.57,61.155,61.51,2497460
2023-05-30,VGK,61.34,61.41,60.7,60.87,2703689
2023-05-31,VGK,60.32,60.43,59.775,60.22,4163986
2023-06-01,VGK,60.4,61.04,60.36,60.93,3501769
2023-06-02,VGK,61.63,61.75,61.495,61.65,3055008
2023-06-05,VGK,61.44,61.49,61.16,61.21,2411167
2023-06-06,VGK,61.14,61.485,61.105,61.44,6622925
2023-06-07,VGK,61.51,61.71,61.15,61.17,3086169
2023-06-08,VGK,61.59,61.88,61.52,61.88,2187390
2023-06-09,VGK,61.55,61.64,61.415,61.51,2669762
2023-06-12,VGK,61.76,61.79,61.5321,61.78,1465929
2023-06-13,VGK,62.12,62.32,62.05,62.26,1930347
2023-06-14,VGK,62.7,62.83,62.16,62.48,2090910
2023-06-15,VGK,62.63,63.3499,62.55,63.33,2812689
2023-06-16,VGK,63.67,63.68,63.26,63.28,2416029
2023-06-20,VGK,61.4,61.485,61.13,61.3,2441656
2023-06-21,VGK,61.0,61.41,60.885,61.18,3676904
2023-06-22,VGK,60.81,60.99,60.755,60.94,2774549
2023-06-23,VGK,60.14,60.41,60.07,60.2,2807940
2023-06-26,VGK,60.33,60.47,60.26,60.28,2645728
2023-06-27,VGK,60.46,60.955,60.31,60.89,2237028
2023-06-28,VGK,60.83,60.935,60.67,60.84,2991260
2023-06-29,VGK,60.56,60.77,60.55,60.75,3350769
2023-06-30,VGK,61.53,61.755,61.49,61.7,2330535
2023-07-03,VGK,61.53,61.6062,61.41,61.52,1237357
2023-07-05,VGK,61.05,61.065,60.675,60.72,3126771
2023-07-06,VGK,59.87,59.88,59.3042,59.64,2296961
2023-07-07,VGK,59.72,60.35,59.67,60.03,3196788
2023-07-10,VGK,60.08,60.42,60.065,60.39,2826078
2023-07-11,VGK,60.77,61.04,60.6,61.04,1961038
2023-07-12,VGK,62.09,62.52,61.98,62.49,3028706
2023-07-13,VGK,63.23,63.53,63.17,63.47,3478562
2023-07-14,VGK,63.55,63.59,63.145,63.17,2119613
2023-07-17,VGK,62.9,63.185,62.79,63.08,1667101
2023-07-18,VGK,63.06,63.486,63.0197,63.45,2761879
2023-07-19,VGK,63.54,63.67,63.275,63.44,2722950
2023-07-20,VGK,63.44,63.61,63.095,63.2,3027687
2023-07-21,VGK,63.38,63.48,63.17,63.42,2461647
2023-07-24,VGK,63.11,63.2901,63.035,63.1,1749569
2023-07-25,VGK,63.0,63.415,63.0,63.22,2726503
2023-07-26,VGK,62.72,63.49,62.72,63.34,4010491
2023-07-27,VGK,63.76,63.76,62.915,62.97,3924657
2023-07-28,VGK,63.4,63.685,63.315,63.51,2402190
2023-07-31,VGK,63.63,63.815,63.43,63.49,2661701
2023-08-01,VGK,62.84,63.09,62.57,62.79,3782625
2023-08-02,VGK,62.0,62.11,61.5707,61.65,8274376
2023-08-03,VGK,61.18,61.67,61.12,61.48,2816433
2023-08-04,VGK,61.73,62.255,61.53,61.59,2104039
2023-08-07,VGK,61.97,62.19,61.6897,62.18,1795545
2023-08-08,VGK,61.45,61.8888,61.32,61.85,2664875
2023-08-09,VGK,61.99,62.19,61.865,61.99,5597310
2023-08-10,VGK,62.6,63.01,62.12,62.23,2602985
2023-08-11,VGK,61.69,61.92,61.57,61.7,2318471
2023-08-14,VGK,61.21,61.68,61.0399,61.58,2208560
2023-08-15,VGK,61.2402,61.28,60.705,60.79,2247365
2023-08-16,VGK,60.75,61.0,60.41,60.42,3306566
2023-08-17,VGK,60.55,60.62,59.84,59.9,2575966
2023-08-18,VGK,59.32,59.92,59.31,59.8,2393198
2023-08-21,VGK,60.06,60.19,59.77,60.14,2296116
2023-08-22,VGK,60.31,60.33,59.875,59.92,1891855
2023-08-23,VGK,60.05,60.53,60.01,60.42,2421275
2023-08-24,VGK,60.13,60.363,59.57,59.58,2490543
2023-08-25,VGK,60.01,60.23,59.47,60.01,1626602
2023-08-28,VGK,60.39,60.675,60.33,60.64,2126231
2023-08-29,VGK,60.58,61.52,60.53,61.5,2768867
2023-08-30,VGK,61.57,61.7701,61.38,61.47,1908991
2023-08-31,VGK,61.33,61.35,60.75,60.92,2072574
2023-09-01,VGK,61.34,61.385,60.54,60.71,1502930
2023-09-05,VGK,60.45,60.46,59.98,59.98,2124984
2023-09-06,VGK,59.85,59.975,59.53,59.76,1965895
2023-09-07,VGK,59.52,59.66,59.315,59.5,2114415
2023-09-08,VGK,59.63,59.805,59.525,59.59,3137521
2023-09-11,VGK,60.08,60.265,59.89,60.21,1566426
2023-09-12,VGK,59.78,60.08,59.735,59.82,3905366
2023-09-13,VGK,59.68,59.86,59.46,59.57,2876235
2023-09-14,VGK,59.87,60.305,59.87,60.28,3107487
2023-09-15,VGK,60.45,60.68,60.15,60.19,2244584
2023-09-18,VGK,59.55,59.655,59.33,59.51,2009981
2023-09-19,VGK,59.52,59.655,59.3501,59.55,2280700
2023-09-20,VGK,60.1,60.395,59.63,59.66,3173072
2023-09-21,VGK,59.27,59.36,58.78,58.8,5789625
2023-09-22,VGK,58.94,59.2,58.595,58.67,2275832
2023-09-25,VGK,58.07,58.32,57.9,58.27,1775055
2023-09-26,VGK,57.84,58.02,57.5,57.54,3416742
2023-09-27,VGK,57.64,57.67,56.87,57.29,3013793
2023-09-28,VGK,57.47,58.065,57.37,57.85,6645690
2023-09-29,VGK,58.69,58.69,57.81,57.93,3312902
2023-10-02,VGK,57.51,57.575,56.775,56.94,4572184
2023-10-03,VGK,56.57,56.73,56.16,56.33,3156825
2023-10-04,VGK,56.77,56.77,56.11,56.61,4247119
2023-10-05,VGK,56.75,57.0,56.58,56.94,4214372
2023-10-06,VGK,56.84,57.82,56.465,57.68,3177722
2023-10-09,VGK,57.1,57.55,56.9932,57.5,1412716
2023-10-10,VGK,58.24,58.62,58.19,58.4,5066830
2023-10-11,VGK,58.86,58.93,58.415,58.79,2156317
2023-10-12,VGK,58.71,58.74,57.91,58.12,2076564
2023-10-13,VGK,58.0,58.115,57.438,57.59,2640768
2023-10-16,VGK,57.81,58.145,57.7063,58.12,2254145
2023-10-17,VGK,57.53,58.335,57.51,58.06,2196814
2023-10-18,VGK,57.49,57.525,56.925,56.99,2463831
2023-10-19,VGK,56.79,57.1,56.4,56.52,3746311
2023-10-20,VGK,56.29,56.41,55.9644,55.98,3147030
2023-10-23,VGK,55.79,56.45,55.58,56.1,1988245
2023-10-24,VGK,56.12,56.36,56.01,56.31,2761122
2023-10-25,VGK,56.02,56.3,55.7,55.81,2914868
2023-10-26,VGK,55.835,55.94,55.37,55.57,2760060
2023-10-27,VGK,55.81,55.83,55.06,55.18,3170869
2023-10-30,VGK,55.93,56.065,55.72,56.04,4633118
2023-10-31,VGK,56.08,56.27,55.825,56.14,4617940
2023-11-01,VGK,56.18,56.54,55.95,56.52,2770555
2023-11-02,VGK,57.72,57.81,57.44,57.76,2951547
2023-11-03,VGK,58.27,58.49,58.085,58.24,2118963
2023-11-06,VGK,58.28,58.35,57.94,58.05,1513900
2023-11-07,VGK,57.79,57.95,57.635,57.79,1462555
