Date,ticker,open,high,low,close,volume
2024-06-03,VTI,261.66,261.66,258.0772,260.52,6203385
2024-06-04,VTI,259.84,260.89,258.95,260.49,2489841
2024-06-05,VTI,261.8,263.68,260.7,263.68,2384042
2024-06-06,VTI,263.65,263.9614,262.6,263.45,2190196
2024-06-07,VTI,262.89,264.3,262.2458,262.95,1838937
2024-06-10,VTI,262.33,264.0,262.2,263.83,2142670
2024-06-11,VTI,263.0,264.35,261.88,264.28,3017331
2024-06-12,VTI,267.09,268.215,266.21,266.77,2762566
2024-06-13,VTI,267.47,267.8,265.5,266.89,2285244
2024-06-14,VTI,265.86,266.69,265.24,266.69,2205602
2024-06-17,VTI,266.41,269.4,266.04,268.72,2452013
2024-06-18,VTI,268.86,269.54,268.66,269.4,2024347
2024-06-20,VTI,269.94,270.19,267.75,268.72,3168616
2024-06-21,VTI,268.42,268.81,267.4612,268.31,2679439
2024-06-24,VTI,268.34,269.779,267.78,267.86,2226503
2024-06-25,VTI,268.37,268.74,267.49,268.74,2074841
2024-06-26,VTI,267.98,269.1,267.63,268.73,1857531
2024-06-27,VTI,268.62,269.589,268.49,269.38,2655402
2024-06-28,VTI,269.37,270.41,266.95,267.51,2822789
2024-07-01,VTI,268.49,268.49,266.73,268.05,2881044
2024-07-02,VTI,267.46,269.63,267.25,269.6,4207844
2024-07-03,VTI,269.61,270.8995,269.61,270.71,1948509
2024-07-05,VTI,270.82,272.26,270.4,272.12,4237515
2024-07-08,VTI,272.65,272.92,271.91,272.49,2335017
2024-07-09,VTI,272.82,273.18,272.311,272.42,2703874
2024-07-10,VTI,273.21,275.21,272.85,275.06,1992606
2024-07-11,VTI,275.75,276.26,273.44,273.83,3598789
2024-07-12,VTI,274.35,277.357,274.3389,275.64,2729482
2024-07-15,VTI,276.8,278.3,275.88,276.82,3386136
2024-07-16,VTI,277.6,279.21,277.4,279.1,3261052
2024-07-17,VTI,276.24,277.27,274.985,275.16,3346145
2024-07-18,VTI,276.0,276.55,271.65,272.76,2904164
