Date,ticker,open,high,low,close,volume
2022-06-02,XLP,72.6494,73.5369,71.4561,73.5369,17866018.467315
2022-06-03,XLP,73.2312,73.5172,72.6099,72.7973,9887304.5217491
2022-06-06,XLP,73.3002,73.5221,72.5754,72.8269,11077748.914882
2022-06-07,XLP,71.8801,73.3101,71.8801,73.2115,9197847.8019573
2022-06-08,XLP,72.7973,72.9623,72.2647,72.3141,8007569.7127965
2022-06-09,XLP,72.2451,72.9502,71.2046,71.2294,9574842.6815808
2022-06-10,XLP,70.3517,71.4857,69.9868,70.9237,17969421.004019
2022-06-13,XLP,69.8684,70.3517,69.1091,69.3951,23133651.146513
2022-06-14,XLP,69.3754,69.691,68.0835,68.5766,20143847.465308
2022-06-15,XLP,69.0598,69.6121,67.8764,68.6456,20351364.400838
2022-06-16,XLP,67.7088,68.6456,67.2748,68.1229,19284239.473147
2022-06-17,XLP,68.2413,68.616,67.5707,67.8764,25174179.587268
2022-06-21,XLP,68.6842,69.8814,68.3563,69.6877,16251979.380992
2022-06-22,XLP,69.3399,70.1149,69.0717,69.638,15305929.399783
2022-06-23,XLP,70.1149,71.0538,70.0454,70.9892,16678250.359675
2022-06-24,XLP,71.6152,72.41,71.3519,72.3802,13524185.110001
2022-06-27,XLP,72.4497,72.569,71.9778,72.1815,11007475.100188
2022-06-28,XLP,72.3901,72.8472,71.1581,71.2177,11075722.218995
2022-06-29,XLP,71.4959,71.9579,71.327,71.6648,9290534.7243315
2022-06-30,XLP,71.2972,72.0275,70.8702,71.7145,12752956.53446
2022-07-01,XLP,71.7344,72.7975,71.6152,72.7478,11739814.885833
2022-07-05,XLP,72.261,72.5095,71.1184,72.2808,12912031.392224
2022-07-06,XLP,72.5491,72.9962,72.261,72.4895,11844438.593605
2022-07-07,XLP,72.4299,72.6783,72.1318,72.559,8531275.3368807
2022-07-08,XLP,72.5888,73.0061,72.1964,72.4299,10802206.342609
2022-07-11,XLP,72.3405,72.8273,72.0821,72.3305,7219062.0050386
2022-07-12,XLP,72.4299,73.0757,71.8636,72.1219,11104036.816991
2022-07-13,XLP,71.7046,72.8124,71.5257,72.1716,13941508.385848
2022-07-14,XLP,71.2475,72.3405,71.2326,72.2312,10871844.431643
2022-07-15,XLP,72.7081,72.9366,72.1765,72.4696,9360665.9938373
2022-07-18,XLP,72.5988,72.718,71.635,71.7642,8528576.9351593
2022-07-19,XLP,72.3603,72.6534,72.1566,72.5193,8785738.3432239
