Date,ticker,open,high,low,close,volume
2023-01-03,XLV,135.96,136.33,134.43,135.46,7239269
2023-01-04,XLV,136.22,136.57,134.94,135.82,8469936
2023-01-05,XLV,134.92,135.25,133.895,134.43,6714235
2023-01-06,XLV,135.33,136.04,133.61,135.67,7175745
2023-01-09,XLV,135.81,135.85,133.215,133.4,7719462
2023-01-10,XLV,133.35,134.725,133.15,134.52,7675320
2023-01-11,XLV,134.61,135.3,133.99,135.28,7307184
2023-01-12,XLV,134.99,135.41,133.54,134.85,7580538
2023-01-13,XLV,134.11,135.86,134.05,135.45,6334065
2023-01-17,XLV,135.38,135.6121,134.64,134.82,6664139
2023-01-18,XLV,134.82,135.17,132.795,132.92,10629147
2023-01-19,XLV,132.53,133.77,132.26,133.24,9902281
2023-01-20,XLV,133.54,134.01,132.52,133.91,5962205
2023-01-23,XLV,133.99,135.12,133.69,134.37,7211043
2023-01-24,XLV,133.7,134.48,132.62,133.48,5754776
2023-01-25,XLV,132.59,133.55,132.21,133.52,5999062
2023-01-26,XLV,133.83,133.95,132.73,133.77,6861168
2023-01-27,XLV,133.57,133.71,132.69,132.86,5854552
2023-01-30,XLV,132.61,133.44,131.455,131.66,7055400
2023-01-31,XLV,131.96,133.38,131.83,133.36,6290643
2023-02-01,XLV,133.36,134.81,132.36,133.99,11843040
2023-02-02,XLV,133.01,133.258,132.13,133.08,11274699
2023-02-03,XLV,133.17,133.6,132.25,132.69,10046771
2023-02-06,XLV,132.5,132.78,131.77,131.95,7328283
2023-02-07,XLV,131.49,133.19,131.025,132.8,7551007
2023-02-08,XLV,132.32,133.15,132.21,132.41,5614147
2023-02-09,XLV,132.74,133.245,131.04,131.25,8085922
2023-02-10,XLV,131.43,132.625,131.25,132.49,6198653
2023-02-13,XLV,132.51,133.595,132.51,133.59,6300295
2023-02-14,XLV,133.77,134.01,132.13,132.8,6905994
2023-02-15,XLV,132.28,132.455,131.69,132.14,6491948
2023-02-16,XLV,130.93,131.985,130.54,130.82,8008010
2023-02-17,XLV,130.2,132.23,130.08,131.99,10434450
2023-02-21,XLV,131.03,131.57,130.0899,130.28,9066218
2023-02-22,XLV,130.42,130.73,129.57,129.84,7318937
2023-02-23,XLV,129.81,130.85,129.235,130.19,9955508
2023-02-24,XLV,129.09,129.34,128.13,128.51,9008017
2023-02-27,XLV,129.21,129.57,127.83,128.12,6463899
2023-02-28,XLV,127.83,127.91,127.06,127.17,10282751
2023-03-01,XLV,126.56,127.24,126.41,126.96,11101021
2023-03-02,XLV,126.39,128.105,126.39,127.74,10203680
2023-03-03,XLV,128.33,129.22,127.69,129.17,10048013
2023-03-06,XLV,129.26,129.7,128.81,129.11,8153402
2023-03-07,XLV,129.37,129.52,126.81,127.03,9604352
2023-03-08,XLV,126.77,127.16,125.84,126.35,10793366
2023-03-09,XLV,126.84,127.05,124.56,125.07,13270342
2023-03-10,XLV,124.86,125.9,123.67,124.15,20483224
2023-03-13,XLV,123.75,127.02,123.6,125.31,21294203
2023-03-14,XLV,126.16,126.82,125.17,126.43,14583013
2023-03-15,XLV,125.07,126.5,124.84,126.32,17244563
2023-03-16,XLV,125.37,127.56,125.02,127.5,16013915
2023-03-17,XLV,127.39,127.49,125.455,125.86,15071531
2023-03-20,XLV,125.58,127.145,125.58,126.96,10592082
2023-03-21,XLV,127.45,127.88,126.675,127.73,8816257
2023-03-22,XLV,127.8,128.27,125.78,125.8,10480142
2023-03-23,XLV,126.32,127.08,124.84,125.56,10092300
2023-03-24,XLV,125.44,127.42,124.97,127.3,8163893
2023-03-27,XLV,128.2,128.78,127.67,127.82,9455363
2023-03-28,XLV,127.69,128.15,126.74,127.05,8037474
2023-03-29,XLV,127.68,127.84,126.85,127.4,8183112
2023-03-30,XLV,128.09,128.13,127.275,128.09,6820534
2023-03-31,XLV,128.52,129.53,128.45,129.46,9202493
2023-04-03,XLV,129.56,131.06,129.2,130.91,8937258
2023-04-04,XLV,131.05,131.69,130.69,130.93,9052600
2023-04-05,XLV,131.66,133.42,131.51,133.19,12325750
2023-04-06,XLV,133.71,134.11,133.07,133.52,8276295
2023-04-10,XLV,133.16,133.5,132.46,133.43,8024299
2023-04-11,XLV,133.74,134.365,133.66,133.88,8887512
2023-04-12,XLV,134.4,134.895,133.68,133.92,8988716
2023-04-13,XLV,134.49,135.81,134.195,135.66,9373699
2023-04-14,XLV,135.35,135.635,134.07,134.57,6632126
2023-04-17,XLV,134.61,134.76,133.755,134.46,7187113
2023-04-18,XLV,134.73,134.73,133.36,133.54,7194221
2023-04-19,XLV,133.58,134.15,133.17,133.95,7048082
2023-04-20,XLV,133.31,133.6,132.7707,133.4,6672031
2023-04-21,XLV,134.13,134.75,133.71,134.3,6536148
2023-04-24,XLV,134.44,135.09,134.1,135.05,6299870
2023-04-25,XLV,134.85,135.26,133.42,133.61,7751967
2023-04-26,XLV,132.43,132.52,130.92,131.71,10128764
2023-04-27,XLV,131.77,132.585,130.62,132.4,10008925
2023-04-28,XLV,132.24,133.905,132.03,133.53,7917338
2023-05-01,XLV,133.72,134.755,133.46,134.22,6794007
2023-05-02,XLV,134.0,134.85,132.68,133.64,14365947
2023-05-03,XLV,134.26,134.9,133.27,133.46,8961472
2023-05-04,XLV,132.9,132.98,131.84,132.4,9625315
2023-05-05,XLV,133.27,134.05,132.83,133.59,7650379
2023-05-08,XLV,133.39,133.43,132.68,133.3,5305742
2023-05-09,XLV,132.79,133.42,132.37,132.41,6452735
2023-05-10,XLV,132.79,133.11,132.0,132.78,6556586
2023-05-11,XLV,132.5,132.58,131.54,132.37,8764931
2023-05-12,XLV,132.57,132.85,131.6,132.19,6626766
2023-05-15,XLV,132.21,132.3,131.39,131.96,5725670
2023-05-16,XLV,131.68,131.73,130.83,130.86,7106025
2023-05-17,XLV,131.08,131.19,129.555,131.02,15512874
2023-05-18,XLV,130.74,130.91,129.69,130.7,12196872
2023-05-19,XLV,131.0,132.19,130.94,131.31,9277048
2023-05-22,XLV,131.5,132.36,131.13,131.44,12856105
2023-05-23,XLV,130.91,131.0951,129.71,130.0,8723112
2023-05-24,XLV,129.75,129.78,128.81,129.11,7953091
2023-05-25,XLV,128.49,128.66,126.91,127.79,13737188
2023-05-26,XLV,127.67,128.8701,127.29,127.53,8794874
2023-05-30,XLV,126.89,127.87,126.42,126.74,12114528
2023-05-31,XLV,126.39,128.05,126.05,127.83,15099052
2023-06-01,XLV,127.95,128.9179,126.96,128.67,9751882
2023-06-02,XLV,129.08,130.55,128.78,130.32,10293195
2023-06-05,XLV,130.61,131.38,130.45,130.79,7880207
2023-06-06,XLV,131.32,131.36,129.13,129.7,9413482
2023-06-07,XLV,129.59,129.77,129.0,129.19,7519649
2023-06-08,XLV,129.21,130.2,128.78,130.02,6583161
2023-06-09,XLV,130.05,130.87,129.34,130.42,10446128
2023-06-12,XLV,130.35,130.92,129.835,130.89,7321523
2023-06-13,XLV,130.6,131.745,130.47,131.55,8362679
2023-06-14,XLV,130.88,130.99,129.7,130.2,12401617
2023-06-15,XLV,130.21,132.4,130.19,132.22,10598620
2023-06-16,XLV,132.56,133.25,132.07,132.21,10535119
2023-06-20,XLV,130.41,132.095,130.39,131.52,8585375
2023-06-21,XLV,131.2,131.99,130.59,131.54,9444757
2023-06-22,XLV,131.74,132.63,131.57,132.44,8036714
2023-06-23,XLV,132.26,132.54,131.64,132.0,8096493
2023-06-26,XLV,131.67,131.88,129.98,131.25,7093029
2023-06-27,XLV,131.25,131.39,130.04,130.95,8578428
2023-06-28,XLV,130.92,130.95,130.11,130.53,10897834
2023-06-29,XLV,130.23,131.46,130.01,131.38,7843374
2023-06-30,XLV,131.91,133.04,131.83,132.73,8260918
2023-07-03,XLV,132.35,132.35,131.078,131.64,5240339
2023-07-05,XLV,131.36,131.855,131.06,131.57,7942087
2023-07-06,XLV,130.69,131.01,130.19,130.52,8213056
2023-07-07,XLV,129.8,130.26,128.93,129.0,8749818
2023-07-10,XLV,129.01,130.18,129.0,130.02,7476636
2023-07-11,XLV,129.84,130.47,129.48,130.05,7279219
2023-07-12,XLV,130.38,130.5,129.49,129.7,11900408
2023-07-13,XLV,130.03,130.36,129.615,129.75,7526169
2023-07-14,XLV,130.73,132.115,130.59,131.7,13298785
2023-07-17,XLV,131.35,131.63,130.61,131.1,7905359
2023-07-18,XLV,131.15,132.565,130.91,132.07,8130367
2023-07-19,XLV,132.72,133.51,132.45,132.68,12483992
2023-07-20,XLV,133.57,135.43,133.47,134.88,12650212
2023-07-21,XLV,135.01,136.66,134.78,136.24,11308875
2023-07-24,XLV,136.24,136.845,135.8201,135.94,12034090
2023-07-25,XLV,135.03,136.425,134.85,135.88,7803014
2023-07-26,XLV,135.23,136.23,134.875,135.79,8205316
2023-07-27,XLV,135.99,136.48,134.76,134.79,8800817
2023-07-28,XLV,135.2,135.42,134.415,135.19,6897797
2023-07-31,XLV,134.95,135.0,133.645,134.15,9736656
2023-08-01,XLV,133.84,134.33,133.115,133.45,10555724
2023-08-02,XLV,133.48,134.39,133.18,133.54,13873282
2023-08-03,XLV,133.1,133.27,132.61,132.87,11863532
2023-08-04,XLV,132.91,133.73,132.075,132.4,12631301
2023-08-07,XLV,132.8,134.055,132.73,133.93,8165679
2023-08-08,XLV,134.78,135.13,134.045,134.96,12601218
2023-08-09,XLV,134.84,135.65,134.75,134.92,9833747
2023-08-10,XLV,135.25,136.53,134.69,134.83,9541846
2023-08-11,XLV,134.79,135.83,134.47,135.67,7674453
2023-08-14,XLV,135.69,136.51,135.57,136.08,8723326
2023-08-15,XLV,135.74,136.14,135.43,135.58,9118521
2023-08-16,XLV,135.36,135.8,134.52,134.55,9462496
